,PUMA,poor,high_risk,not_poor
0,3701,17.7650429799,16.9054441261,65.329512894
1,3702,17.8997613365,22.1957040573,59.9045346062
2,3703,13.8235294118,14.7058823529,71.4705882353
3,3704,21.4646464646,18.4343434343,60.101010101
4,3705,35.4114713217,28.4289276808,36.1596009975
5,3706,34.5679012346,23.1481481481,42.2839506173
6,3707,36.7052023121,32.9479768786,30.3468208092
7,3708,32.5,33.75,33.75
8,3709,24.6435845214,25.8655804481,49.4908350305
9,3710,40.6735751295,28.7564766839,30.5699481865
10,3801,20.9615384615,28.4615384615,50.5769230769
11,3802,25.4601226994,21.1656441718,53.3742331288
12,3803,27.3885350318,23.2484076433,49.3630573248
13,3804,23.125,28.125,48.75
14,3805,7.95334040297,4.98409331919,87.0625662778
15,3806,8.84520884521,8.10810810811,83.0466830467
16,3807,12.0063191153,10.4265402844,77.5671406003
17,3808,9.01162790698,6.97674418605,84.011627907
18,3809,23.8273921201,21.200750469,54.9718574109
19,3810,10.5734767025,5.91397849462,83.5125448029
20,3901,9.51374207188,9.3023255814,81.1839323467
21,3902,15.1029748284,12.8146453089,72.0823798627
22,3903,13.9763779528,14.5669291339,71.4566929134
23,4001,29.3193717277,18.5863874346,52.0942408377
24,4002,33.4545454545,28.7272727273,37.8181818182
25,4003,25.6338028169,25.0704225352,49.2957746479
26,4004,12.2969837587,16.7053364269,70.9976798144
27,4005,9.45945945946,12.8378378378,77.7027027027
28,4006,25.1295336788,23.8341968912,51.0362694301
29,4007,33.0275229358,28.1345565749,38.8379204893
30,4008,27.1739130435,28.8043478261,44.0217391304
31,4009,12.5220458554,16.5784832451,70.8994708995
32,4010,18.3727034121,21.7847769029,59.842519685
33,4011,22.1453287197,23.875432526,53.9792387543
34,4012,28.4931506849,19.1780821918,52.3287671233
35,4013,17.9265658747,16.8466522678,65.2267818575
36,4014,29.216152019,21.6152019002,49.1686460808
37,4015,25.0,19.1964285714,55.8035714286
38,4016,23.5668789809,14.6496815287,61.7834394904
39,4017,27.9151943463,18.3745583039,53.7102473498
40,4018,27.2463768116,25.7971014493,46.9565217391
41,4101,20.625,19.84375,59.53125
42,4102,18.9573459716,21.0900473934,59.9526066351
43,4103,13.9189189189,18.5135135135,67.5675675676
44,4104,10.6024096386,11.8072289157,77.5903614458
45,4105,9.26573426573,10.8391608392,79.8951048951
46,4106,14.1935483871,15.9139784946,69.8924731183
47,4107,23.2919254658,25.4658385093,51.2422360248
48,4108,14.8706896552,14.224137931,70.9051724138
49,4109,16.2371134021,21.6494845361,62.1134020619
50,4110,17.8819444444,15.7986111111,66.3194444444
51,4111,15.0,18.5,66.5
52,4112,18.7272727273,20.7272727273,60.5454545455
53,4113,16.0714285714,19.0476190476,64.880952381
54,4114,19.512195122,16.724738676,63.7630662021
